Start IP,End IP,Country Code,Country,Region,City,CIDR
39.33.43.0,39.33.43.255,PK,Pakistan,Khyber Pakhtunkhwa,Mardan,39.33.43.0/24
39.33.44.0,39.33.44.255,PK,Pakistan,Khyber Pakhtunkhwa,Mingora,39.33.44.0/24
39.33.45.0,39.33.45.255,PK,Pakistan,Khyber Pakhtunkhwa,Alpurai,39.33.45.0/24
39.33.46.0,39.33.46.255,PK,Pakistan,Khyber Pakhtunkhwa,Mardan,39.33.46.0/24
39.33.47.0,39.33.47.255,PK,Pakistan,Sindh,Karachi,39.33.47.0/24
39.33.48.0,39.33.51.255,PK,Pakistan,Khyber Pakhtunkhwa,Mardan,39.33.48.0/22
39.33.52.0,39.33.52.255,PK,Pakistan,Khyber Pakhtunkhwa,Mingora,39.33.52.0/24
39.33.53.0,39.33.53.255,PK,Pakistan,Khyber Pakhtunkhwa,Mardan,39.33.53.0/24
39.33.54.0,39.33.54.255,PK,Pakistan,Islamabad,Islamabad,39.33.54.0/24
39.33.55.0,39.33.55.255,PK,Pakistan,Khyber Pakhtunkhwa,Mingora,39.33.55.0/24
39.33.56.0,39.33.56.255,PK,Pakistan,Khyber Pakhtunkhwa,Bat Khela,39.33.56.0/24
39.33.57.0,39.33.59.255,PK,Pakistan,Khyber Pakhtunkhwa,Mardan,39.33.57.0/24
39.33.60.0,39.33.60.255,PK,Pakistan,Islamabad,Islamabad,39.33.60.0/24
39.33.61.0,39.33.62.255,PK,Pakistan,Khyber Pakhtunkhwa,Mardan,39.33.61.0/24
39.33.63.0,39.33.63.255,PK,Pakistan,Islamabad,Islamabad,39.33.63.0/24
39.33.64.0,39.33.64.255,PK,Pakistan,Khyber Pakhtunkhwa,Mingora,39.33.64.0/24
39.33.65.0,39.33.65.255,PK,Pakistan,Khyber Pakhtunkhwa,Mardan,39.33.65.0/24
39.33.66.0,39.33.66.255,PK,Pakistan,Khyber Pakhtunkhwa,Daggar,39.33.66.0/24
39.33.67.0,39.33.67.255,PK,Pakistan,Islamabad,Islamabad,39.33.67.0/24
39.33.68.0,39.33.68.255,PK,Pakistan,Khyber Pakhtunkhwa,Mardan,39.33.68.0/24
39.33.69.0,39.33.69.255,PK,Pakistan,Sindh,Karachi,39.33.69.0/24
39.33.70.0,39.33.71.255,PK,Pakistan,Khyber Pakhtunkhwa,Mardan,39.33.70.0/23
39.33.72.0,39.33.72.255,PK,Pakistan,Islamabad,Islamabad,39.33.72.0/24
39.33.73.0,39.33.73.255,PK,Pakistan,Khyber Pakhtunkhwa,Topi,39.33.73.0/24
39.33.74.0,39.33.74.255,PK,Pakistan,Khyber Pakhtunkhwa,Alpurai,39.33.74.0/24
39.33.75.0,39.33.76.255,PK,Pakistan,Khyber Pakhtunkhwa,Bat Khela,39.33.75.0/24
39.33.77.0,39.33.77.255,PK,Pakistan,Khyber Pakhtunkhwa,Noorabad,39.33.77.0/24
39.33.78.0,39.33.78.255,PK,Pakistan,Khyber Pakhtunkhwa,Mingora,39.33.78.0/24
39.33.79.0,39.33.79.255,PK,Pakistan,Khyber Pakhtunkhwa,Daggar,39.33.79.0/24
39.33.80.0,39.33.81.255,PK,Pakistan,Khyber Pakhtunkhwa,Mardan,39.33.80.0/23
39.33.82.0,39.33.82.255,PK,Pakistan,Khyber Pakhtunkhwa,Mingora,39.33.82.0/24
39.33.83.0,39.33.83.255,PK,Pakistan,Khyber Pakhtunkhwa,Mardan,39.33.83.0/24
39.33.84.0,39.33.85.255,PK,Pakistan,Khyber Pakhtunkhwa,Topi,39.33.84.0/23
39.33.86.0,39.33.86.255,PK,Pakistan,Khyber Pakhtunkhwa,Mingora,39.33.86.0/24
39.33.87.0,39.33.87.255,PK,Pakistan,Islamabad,Islamabad,39.33.87.0/24
39.33.88.0,39.33.88.255,PK,Pakistan,Khyber Pakhtunkhwa,Mardan,39.33.88.0/24
